0,Medium,EViMA,Sipht,29.772996328781023
1,Medium,MOCS_OViC,Sipht,30.619620198202398
0,Small,EViMA,Sipht,25.40643092615924
1,Small,MOCS_OViC,Sipht,21.555730449153906
0,Extra large,EViMA,Sipht,21.435746852764094
1,Extra large,MOCS_OViC,Sipht,20.22260198758911
0,Large,EViMA,Sipht,26.208747267696282
1,Large,MOCS_OViC,Sipht,25.265264160088627
0,Medium,EViMA,Montage,5682.001707317073
1,Medium,MOCS_OViC,Montage,5681.011707317073
0,Small,EViMA,Montage,2403.1093515610796
1,Small,MOCS_OViC,Montage,1922.6733880541815
0,Extra large,EViMA,Montage,442.82121951219506
1,Extra large,MOCS_OViC,Montage,441.4481354000456
0,Large,EViMA,Montage,383.0570731707317
1,Large,MOCS_OViC,Montage,383.0570731707317
0,Medium,EViMA,Inspiral,7494.107560975611
1,Medium,MOCS_OViC,Inspiral,7493.749371320437
0,Small,EViMA,Inspiral,6468.088395774439
1,Small,MOCS_OViC,Inspiral,6467.778551098908
0,Extra large,EViMA,Inspiral,8553.684878048782
1,Extra large,MOCS_OViC,Inspiral,8554.344878048782
0,Large,EViMA,Inspiral,7582.166097560975
1,Large,MOCS_OViC,Inspiral,7582.8260975609755
0,Extra large,EViMA,Epigenomics,2290348.9985365854
1,Extra large,MOCS_OViC,Epigenomics,2290348.9985365854
0,Medium,EViMA,Epigenomics,929706.6058536585
1,Medium,MOCS_OViC,Epigenomics,929706.9358536586
0,Small,EViMA,Epigenomics,47385.900148617555
1,Small,MOCS_OViC,Epigenomics,47385.30535372348
0,Large,EViMA,Epigenomics,292376.5161841805
1,Large,MOCS_OViC,Epigenomics,292376.2392682927
0,Medium,EViMA,CyberShake,39622.68324956886
1,Medium,MOCS_OViC,CyberShake,30615.22038134801
0,Small,EViMA,CyberShake,15922.888021883587
1,Small,MOCS_OViC,CyberShake,15314.365557582254
0,Extra large,EViMA,CyberShake,38779.804355269254
1,Extra large,MOCS_OViC,CyberShake,38779.804355269254
0,Large,EViMA,CyberShake,39030.741507760526
1,Large,MOCS_OViC,CyberShake,39031.29288368551
